car_name,car_level,car_charmingvalue,car_description,car_price
时空之翼,A,25,飞车世界酷比岛运用最新科技打造而成的赛车，粉色侧翼具有将阻力转化为动力的功能，极大限度提升赛车性能。,100000
魔王,A,25,暗黑系喷漆闪烁着危险的讯息，血瞳般车灯更突显其冷艳傲慢，流线型车身搭配记忆轮胎，将阻力降至最低。,100000
极地战甲,A,25,提取极地龙龟基因炼制而成的车身极具抗压性和耐撞性，搭配可塑性记忆橡胶轮胎，在赛场上无往不利。,100000
骇客,A,25,A级赛车。暗黑系的风格中带有一丝凌厉的雷光，搭载最新的雷神引擎系统，将速度爆发至极致。,100000
S-破晓者,A,25,首届S联赛专属赛车，革命性的S引擎利用氮气使车身变形以适应不同的风阻，定能助你决战联赛之巅。,100000
凌霜风暴,A,25,冰冷的车身正在闪烁危险的光芒，腥红的车灯更是为赛车增添了狂妄，搭配全新引擎，实时掌握赛程节奏。,100000
黑色闪电,A,25,拥有奢华的外型和全套无极变速电控系统，专利的多彩电镀技术，让整车如黑金般闪烁。,100000
黑金,A,25,玄铁和黄金打造而成的赛车，神秘而尊贵，航空引擎搭配专用点火系统，让赛车的动力得以最大的提升。,100000
玄武,A,25,拥有全钛钢合金的面板，以及ZK12型引擎植入，新轮胎包裹技术开创了赛车全新理念。,100000
白玉神驹,A,25,白玉打造而成的车身搭配VIN8智能引擎系统，坚韧散热，极速瞬发，完美演绎龙马精神。,100000
圣殿骑士,A,25,采用近乎F1大赛的跑车设计标准，防撞加厚的ZMC材质，稳中求胜，志在非凡。,100000
暗刃,A,25,拥有精致的外型和完美的引擎系统，车身透露出桀骜不驯的气质，能够在赛场上所向披靡。,100000
恒星,A,25,神秘而高贵的黑色车身，表面的鎏光镀层采用最新科技，可将热能转化为动能的特点，注定成为赛场新贵。,100000
穿梭者,A,25,拥有最新FIT6系引擎组和MS-sport制控系统，车身采用豪华的离子电镀，卓越非凡。,100000
风之痕,A,25,赛车整体采用锐角设计，有效降低风阻，平滑尾翼配载导弹引擎系统，将在赛场上无往不利。,100000
飞跃,A,25,F1赛车的大作，尝试10cm平整底盘，赛车稳定性优于同种车型。,100000
蓝影主宰,A,25,如黑夜一般的车身由熔岩基因锻造而成，锐角尾翼的设计配合BK引擎系统，能将力量爆发至极限。,100000
荣耀之光,A,25,玄铁车身电镀一层橙色喷漆，超低底盘搭配硅橡胶记忆车胎，能完美适应任何路况。,100000
针尖,A,25,创新全能型氢动力豪华赛车，涡喷技术首次实现多点喷发，使其拥有完美转弯与速度的双重功效。,100000
暗夜伯爵,A,25,车身采用黑金和蓝耀晶石混合打造而成，流线型车身和概念车胎的搭配，将阻力降至最低。,100000
天启,A,25,超坚实金属外壳，恰似变形金刚，四喷口强力启动装置，让它在跑道上所向披靡。,100000
狱火哮天,A,25,地狱晶石淬炼而成的车身，极高的表面温度熔尽一切，如暴犬般的车头，必将撕裂一切对手。,100000
猩红公爵,A,25,红色车身加有暗色处理后整体看起来更加刚硬，流线型设计搭配专属引擎系统保证了速度的瞬时提升。,100000
银河战舰,A,25,由点点星光汇聚成的银河战舰，采用了先进的驱动系统使得其具备非常灵敏的反应能力。,100000
光电游侠,A,25,高车头的设计打破常规，水平尾翼搭配前置光电感应装置，最新科技领跑赛场未来。,100000
璀璨之星,A,25,星空般靓丽车神配合强劲动力，成为赛场上的耀眼流星。,100000
黑夜传说,A,25,来无影去无踪缔造出黑色传说，6.5升发动机超强马力，打破传统，鹞鹰尾翼，跑车与赛车的集结，锋芒尽显。,100000
铁血悍将,B,15,霸气侧漏的迷彩越野车外形搭配新型马力十足的流影发动机，必将在赛车界掀起一股全新的越野狂潮。,50000
寒凌,B,15,超低的底盘为车提供超强的稳定性，有种大气的感觉，驾驶它你可以感觉到如风的快感。,50000
劳德曼,B,15,华丽的外观和笔挺的直线完美结合，车身材料采用纤维增强离子，从而加强了赛车的高速运行能力。,50000
飞天,B,15,钛钢打造而成的车身上印有敦煌壁画，尽显古典雅韵，超低底盘搭配耐磨型青花车胎，完美适应各种路况。,50000
大黄鸭,B,15,车身由黄金打造而成，独特的鸭嘴车头和鸭蹼定风翼的设计，保证稳定性的同时还能将输出发挥至极限。,50000
越野者,B,15,高改进气越野赛车，稳健前行，车头增加了合金杠杆，可以最高程度抑制车辆的碰撞。,50000
橘神风暴,B,15,橘黄色的车身靓丽前卫，超低底盘适应于平滑赛道，车头上的Q萌小橘子形象，引领赛场潮流。,50000
暗夜黄蜂,B,15,漆黑的车身隐匿于黑夜中，一道道狭长的金色光芒犹如毒蜂的眼睛从背后注视着你，随时准备将你超越。,50000
蓝魔鬼,B,15,采用液压抬升的自控底盘，车胎半径自行调节，非凡体验，志在尊驾。,50000
SPEED-86,B,15,NISSAN-3系引擎和6缸四冲发动机的稳定，确保了车子性能的持续发挥。,50000
绿茵前锋,B,15,玄铁打造而成的车身上电镀一层绿色的喷漆，如行走在深林中的猛兽，无形中给你巨大的压迫感。,50000
音速战神,B,15,全覆式轨道车，流线体的外观决定了其擅长跑高速弯道的特性，且稳定性高、抓地力极强。,50000
龙影,B,15,车身采用青玉和黄金打造，奢华尊贵，两侧的龙鳞设计和车头的龙头造型，气魄非凡，威慑八方。,50000
电竞之魂,B,15,纯黑车身上印有金色，显得深邃而尊贵，车身上的专属标志，代表着极速公平的电竞之魂。,50000
蓝色脉冲,B,15,和脉动进行联动定制的专属赛车，渐变色的喷漆和优美的车身线条充满活力，并且非常具有纪念意义。,50000
粉色风暴,B,15,炫酷的造型和吸睛的配色，配色师用美术学上的知识，使用粉色和黑色的混搭，制造出冲突又和谐的美感。,50000
极速大Q吧,B,15,原作的基础上电镀一层红色喷漆，彰显极速热情，车身上的彩绘尽显活力，配载Q8引擎系统，掌控赛场。,50000
光芒,B,15,闪烁着银光的追逐，充斥着争分夺秒的速度。光芒车如其名般闪耀。M18加强版全组合引擎，系出名门，卓尔不凡。,50000
霸天虎,B,15,独特的造型将其变身成为赛道中跳动的风景线。霸天虎的登场是另类的代言，畅快淋漓，这个年代我来主宰。,50000
蔚蓝之空,B,15,流线型车身采用电镀工艺，蔚蓝色喷漆清新吸睛，配载V63顶尖引擎，为赛车提供持续动力。,50000
暴风勇士,B,15,拥有贵族车的大气，却不失跑车风范，流线型设计，张弛有度。,50000
金刚狼,B,15,利爪控制的大轱车轮大大增强抓地力，适合各种崎岖赛道，表现非凡。,50000
紫爵,B,15,灵动的跑车镀上一层神秘魅惑的紫色喷漆，疾驰在赛场上，势必回头率爆表。,50000
绿影战神,B,15,由多个侧翼与后翼打造出这辆微信专属赛车，采用了中置发动机，后轮驱动的设计，强大的加速系统备受期待。,50000
赤速战神,B,15,这辆QQ超级会员专属赛车，底盘沉重扎实，超强的耐撞系统足以抵抗其他赛车。,50000
白鸽,B,15,带着塞纳河的绰约风姿与简约的流线设计，令你向往已久的女神都为你倾心。,50000
白灵,B,15,采用盖拉多Z级II代内置，镍钴贴皮设计的大扭矩车轮，走时尚路线，整车在风格上更趋世界级跑车。,50000
大Q吧,B,15,史上体形最大赛车，拥有bus级的外型和类似新干线的车头，绝对的震撼、拉风。,50000
青色彗星,B,15,采用青色荧光材料进行喷色的车身整体看起来更显纯净和自然，超精品设计的排气管更为赛车增添了强大的动力。,50000
袭影,B,15,坚毅的车前挂钩，坚定的切割开空气，王者的高贵气质显露无遗。,50000
K24,B,15,采用法国幻影飞机制造厂的同种航空材质制作，在助推器上采用了飞鱼R系全能发动机组，非常稳定。,50000
